"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","14.04.2023 00:30 - 14.04.2023 00:45 (CET/CEST)","4399","11837","n/e","5975","5901","361","n/e","n/e","25","331","536","1364","50","n/e","2629","234","126","0","687","5395","2528"
"Germany (DE)","14.04.2023 00:45 - 14.04.2023 01:00 (CET/CEST)","4394","11837","n/e","5824","5710","361","n/e","n/e","25","320","614","1369","49","n/e","2630","234","126","0","682","5071","2576"
"Germany (DE)","14.04.2023 01:00 - 14.04.2023 01:15 (CET/CEST)","4367","11815","n/e","5807","5580","362","n/e","n/e","25","423","1031","1376","43","n/e","2629","234","126","0","686","4824","2715"
"Germany (DE)","14.04.2023 01:15 - 14.04.2023 01:30 (CET/CEST)","4362","11838","n/e","5767","5546","361","n/e","n/e","26","92","1236","1385","42","n/e","2631","234","126","0","681","4634","2859"
"Germany (DE)","14.04.2023 01:30 - 14.04.2023 01:45 (CET/CEST)","4374","11789","n/e","5694","5486","362","n/e","n/e","26","132","1270","1389","42","n/e","2630","234","126","0","672","4512","2931"
"Germany (DE)","14.04.2023 01:45 - 14.04.2023 02:00 (CET/CEST)","4389","11816","n/e","5731","5379","362","n/e","n/e","26","276","1499","1393","40","n/e","2630","240","129","0","690","4456","3060"
"Germany (DE)","14.04.2023 02:00 - 14.04.2023 02:15 (CET/CEST)","4366","11663","n/e","5543","5320","361","n/e","n/e","26","96","1963","1391","43","n/e","2630","253","134","0","686","4250","3164"
"Germany (DE)","14.04.2023 02:15 - 14.04.2023 02:30 (CET/CEST)","4365","11730","n/e","5463","5305","361","n/e","n/e","25","3","2251","1392","40","n/e","2632","253","134","0","686","4142","3265"
"Germany (DE)","14.04.2023 02:30 - 14.04.2023 02:45 (CET/CEST)","4356","11681","n/e","5504","5129","361","n/e","n/e","26","1","2475","1392","46","n/e","2632","253","134","0","682","3995","3302"
"Germany (DE)","14.04.2023 02:45 - 14.04.2023 03:00 (CET/CEST)","4355","11674","n/e","5484","5071","362","n/e","n/e","26","99","2699","1392","44","n/e","2633","253","134","0","676","3700","3336"
"Germany (DE)","14.04.2023 03:00 - 14.04.2023 03:15 (CET/CEST)","4349","11673","n/e","5522","5090","361","n/e","n/e","26","0","2504","1393","48","n/e","2634","253","134","0","669","3371","3343"
"Germany (DE)","14.04.2023 03:15 - 14.04.2023 03:30 (CET/CEST)","4357","11657","n/e","5502","5138","361","n/e","n/e","25","128","2341","1392","49","n/e","2633","252","134","0","682","3068","3370"
"Germany (DE)","14.04.2023 03:30 - 14.04.2023 03:45 (CET/CEST)","4359","11609","n/e","5524","5239","362","n/e","n/e","26","169","2284","1390","53","n/e","2633","253","134","0","687","2811","3325"
"Germany (DE)","14.04.2023 03:45 - 14.04.2023 04:00 (CET/CEST)","4366","11625","n/e","5550","5302","361","n/e","n/e","26","360","2420","1388","48","n/e","2633","253","134","0","686","2663","3328"
"Germany (DE)","14.04.2023 04:00 - 14.04.2023 04:15 (CET/CEST)","4380","11621","n/e","5558","5203","362","n/e","n/e","26","76","1817","1383","58","n/e","2632","253","134","0","684","2546","3315"
"Germany (DE)","14.04.2023 04:15 - 14.04.2023 04:30 (CET/CEST)","4392","11595","n/e","5594","5236","361","n/e","n/e","25","283","1689","1382","50","n/e","2631","253","134","0","679","2531","3195"
"Germany (DE)","14.04.2023 04:30 - 14.04.2023 04:45 (CET/CEST)","4397","11600","n/e","5633","5337","362","n/e","n/e","25","349","1034","1384","57","n/e","2633","253","134","0","679","2397","3040"
"Germany (DE)","14.04.2023 04:45 - 14.04.2023 05:00 (CET/CEST)","4416","11587","n/e","5707","5579","362","n/e","n/e","25","324","590","1384","59","n/e","2631","253","134","0","683","2311","2968"
"Germany (DE)","14.04.2023 05:00 - 14.04.2023 05:15 (CET/CEST)","4460","11561","n/e","6067","5981","362","n/e","n/e","25","133","1224","1383","56","n/e","2628","270","142","0","676","2275","2915"
"Germany (DE)","14.04.2023 05:15 - 14.04.2023 05:30 (CET/CEST)","4469","11577","n/e","6225","6314","361","n/e","n/e","25","424","662","1381","54","n/e","2629","279","146","0","667","2088","2932"
"Germany (DE)","14.04.2023 05:30 - 14.04.2023 05:45 (CET/CEST)","4483","11669","n/e","6383","6664","362","n/e","n/e","25","457","219","1379","57","n/e","2628","279","146","0","669","2055","2951"
"Germany (DE)","14.04.2023 05:45 - 14.04.2023 06:00 (CET/CEST)","4504","11677","n/e","6495","6972","362","n/e","n/e","25","1850","129","1374","63","n/e","2627","279","146","0","659","2066","3009"
"Germany (DE)","14.04.2023 06:00 - 14.04.2023 06:15 (CET/CEST)","4624","11683","n/e","6793","7216","361","n/e","n/e","24","1111","431","1375","55","n/e","2628","279","146","1","655","2029","3074"
"Germany (DE)","14.04.2023 06:15 - 14.04.2023 06:30 (CET/CEST)","4669","11673","n/e","7141","7478","361","n/e","n/e","24","1688","57","1375","50","n/e","2628","278","146","29","662","1941","3068"
"Germany (DE)","14.04.2023 06:30 - 14.04.2023 06:45 (CET/CEST)","4688","11680","n/e","7335","7588","362","n/e","n/e","24","3140","9","1380","49","n/e","2628","267","141","98","668","1903","3108"
"Germany (DE)","14.04.2023 06:45 - 14.04.2023 07:00 (CET/CEST)","4702","11718","n/e","7442","7732","362","n/e","n/e","24","4416","6","1374","53","n/e","2629","265","140","264","669","1911","3082"
"Germany (DE)","14.04.2023 07:00 - 14.04.2023 07:15 (CET/CEST)","4752","11688","n/e","7619","7895","362","n/e","n/e","25","5693","3","1373","55","n/e","2628","278","146","692","669","1914","3039"
"Germany (DE)","14.04.2023 07:15 - 14.04.2023 07:30 (CET/CEST)","4772","11736","n/e","7863","7924","362","n/e","n/e","25","6564","3","1372","56","n/e","2628","279","146","1342","673","1890","3002"
"Germany (DE)","14.04.2023 07:30 - 14.04.2023 07:45 (CET/CEST)","4775","11673","n/e","7945","7993","362","n/e","n/e","25","6817","2","1365","56","n/e","2629","278","146","2160","670","1942","2957"
"Germany (DE)","14.04.2023 07:45 - 14.04.2023 08:00 (CET/CEST)","4772","11656","n/e","7963","8046","362","n/e","n/e","25","6484","0","1364","49","n/e","2628","278","146","3117","671","1941","2890"
"Germany (DE)","14.04.2023 08:00 - 14.04.2023 08:15 (CET/CEST)","4784","11619","n/e","7970","8080","362","n/e","n/e","25","7563","0","1363","49","n/e","2629","278","146","4226","667","1749","2820"
"Germany (DE)","14.04.2023 08:15 - 14.04.2023 08:30 (CET/CEST)","4784","11581","n/e","7940","8105","362","n/e","n/e","25","6715","0","1354","48","n/e","2630","278","146","5474","666","1622","2752"
"Germany (DE)","14.04.2023 08:30 - 14.04.2023 08:45 (CET/CEST)","4786","11605","n/e","7921","8230","361","n/e","n/e","24","5691","3","1351","59","n/e","2630","278","146","6793","663","1554","2686"
"Germany (DE)","14.04.2023 08:45 - 14.04.2023 09:00 (CET/CEST)","4803","11618","n/e","7751","8287","362","n/e","n/e","25","4232","6","1351","84","n/e","2631","279","147","8207","662","1420","2574"
"Germany (DE)","14.04.2023 09:00 - 14.04.2023 09:15 (CET/CEST)","4750","11727","n/e","7700","8297","363","n/e","n/e","25","5808","5","1349","165","n/e","2631","291","152","9593","667","1253","2414"
"Germany (DE)","14.04.2023 09:15 - 14.04.2023 09:30 (CET/CEST)","4728","11615","n/e","7677","8206","362","n/e","n/e","25","3707","7","1347","133","n/e","2631","292","152","10914","688","1127","2201"
"Germany (DE)","14.04.2023 09:30 - 14.04.2023 09:45 (CET/CEST)","4724","11619","n/e","7514","7998","362","n/e","n/e","24","2646","77","1341","83","n/e","2632","291","152","12287","684","1080","2024"
"Germany (DE)","14.04.2023 09:45 - 14.04.2023 10:00 (CET/CEST)","4733","11563","n/e","7431","7729","362","n/e","n/e","24","2189","182","1338","54","n/e","2630","291","152","13705","686","1033","1848"
"Germany (DE)","14.04.2023 10:00 - 14.04.2023 10:15 (CET/CEST)","4673","11552","n/e","7321","7598","362","n/e","n/e","25","2590","76","1333","69","n/e","2628","285","149","15025","700","985","1723"
"Germany (DE)","14.04.2023 10:15 - 14.04.2023 10:30 (CET/CEST)","4647","11493","n/e","7303","7221","361","n/e","n/e","25","2006","249","1331","53","n/e","2623","282","148","16170","697","956","1720"
"Germany (DE)","14.04.2023 10:30 - 14.04.2023 10:45 (CET/CEST)","4611","11542","n/e","7112","6891","362","n/e","n/e","25","1484","370","1295","90","n/e","2622","282","148","17254","697","943","1799"
"Germany (DE)","14.04.2023 10:45 - 14.04.2023 11:00 (CET/CEST)","4593","11575","n/e","6853","6478","362","n/e","n/e","25","1003","454","1293","53","n/e","2622","282","148","18158","690","920","1923"
"Germany (DE)","14.04.2023 11:00 - 14.04.2023 11:15 (CET/CEST)","4552","11406","n/e","6224","6176","362","n/e","n/e","25","476","754","1338","53","n/e","2621","278","146","18983","683","889","2026"
"Germany (DE)","14.04.2023 11:15 - 14.04.2023 11:30 (CET/CEST)","4523","11225","n/e","5959","5847","362","n/e","n/e","25","177","1125","1349","55","n/e","2623","267","141","19727","696","861","2160"
"Germany (DE)","14.04.2023 11:30 - 14.04.2023 11:45 (CET/CEST)","4508","10966","n/e","5696","5571","362","n/e","n/e","25","96","1390","1350","75","n/e","2620","265","140","20252","698","848","2368"
"Germany (DE)","14.04.2023 11:45 - 14.04.2023 12:00 (CET/CEST)","4496","10795","n/e","5283","5140","362","n/e","n/e","25","136","1857","1349","51","n/e","2616","263","139","20800","697","859","2615"
"Germany (DE)","14.04.2023 12:00 - 14.04.2023 12:15 (CET/CEST)","4433","10482","n/e","4812","4780","362","n/e","n/e","25","213","1453","1347","199","n/e","2613","261","138","21082","693","818","2906"
"Germany (DE)","14.04.2023 12:15 - 14.04.2023 12:30 (CET/CEST)","4426","10346","n/e","4733","4632","362","n/e","n/e","25","273","1498","1348","57","n/e","2614","260","137","21149","695","793","3082"
"Germany (DE)","14.04.2023 12:30 - 14.04.2023 12:45 (CET/CEST)","4422","10410","n/e","4777","4518","362","n/e","n/e","25","124","1974","1346","49","n/e","2614","260","137","21148","692","807","3143"
"Germany (DE)","14.04.2023 12:45 - 14.04.2023 13:00 (CET/CEST)","4423","10398","n/e","4744","4361","362","n/e","n/e","25","315","1994","1345","47","n/e","2614","260","138","21101","694","854","3241"
"Germany (DE)","14.04.2023 13:00 - 14.04.2023 13:15 (CET/CEST)","4424","10328","n/e","4853","4160","363","n/e","n/e","24","623","1371","1350","97","n/e","2614","267","141","20981","694","808","3399"
"Germany (DE)","14.04.2023 13:15 - 14.04.2023 13:30 (CET/CEST)","4434","10271","n/e","4924","4072","363","n/e","n/e","24","778","1330","1353","69","n/e","2612","267","141","20722","693","717","3536"
"Germany (DE)","14.04.2023 13:30 - 14.04.2023 13:45 (CET/CEST)","4451","10357","n/e","4938","4049","363","n/e","n/e","24","601","2188","1355","57","n/e","2611","267","141","20466","697","678","3644"
"Germany (DE)","14.04.2023 13:45 - 14.04.2023 14:00 (CET/CEST)","4462","10440","n/e","4905","3949","363","n/e","n/e","24","224","2678","1361","42","n/e","2609","267","141","20274","694","708","3774"
"Germany (DE)","14.04.2023 14:00 - 14.04.2023 14:15 (CET/CEST)","4449","10484","n/e","4951","3801","363","n/e","n/e","24","85","2943","1384","134","n/e","2609","267","141","20195","695","721","4076"
"Germany (DE)","14.04.2023 14:15 - 14.04.2023 14:30 (CET/CEST)","4434","10461","n/e","4941","3752","363","n/e","n/e","24","134","2917","1395","96","n/e","2608","267","141","20214","697","714","4296"
"Germany (DE)","14.04.2023 14:30 - 14.04.2023 14:45 (CET/CEST)","4430","10445","n/e","5007","3736","364","n/e","n/e","24","109","3461","1405","52","n/e","2607","267","141","19937","691","662","4466"
"Germany (DE)","14.04.2023 14:45 - 14.04.2023 15:00 (CET/CEST)","4434","10462","n/e","5009","3747","364","n/e","n/e","25","84","3607","1408","49","n/e","2607","269","142","19511","681","702","4798"
"Germany (DE)","14.04.2023 15:00 - 14.04.2023 15:15 (CET/CEST)","4436","10542","n/e","4884","3812","363","n/e","n/e","24","64","3501","1394","50","n/e","2602","274","144","18913","688","754","5028"
"Germany (DE)","14.04.2023 15:15 - 14.04.2023 15:30 (CET/CEST)","4441","10606","n/e","4888","3875","363","n/e","n/e","24","55","3150","1395","62","n/e","2603","275","144","18191","690","794","5168"
"Germany (DE)","14.04.2023 15:30 - 14.04.2023 15:45 (CET/CEST)","4447","10657","n/e","4831","3998","364","n/e","n/e","24","75","2607","1397","59","n/e","2601","275","144","17504","683","779","5267"
"Germany (DE)","14.04.2023 15:45 - 14.04.2023 16:00 (CET/CEST)","4456","10624","n/e","4923","4090","364","n/e","n/e","25","42","2392","1391","48","n/e","2601","275","144","16569","688","793","5371"
"Germany (DE)","14.04.2023 16:00 - 14.04.2023 16:15 (CET/CEST)","4489","10719","n/e","4831","4179","364","n/e","n/e","25","0","3296","1393","44","n/e","2602","274","144","15769","692","774","5694"
"Germany (DE)","14.04.2023 16:15 - 14.04.2023 16:30 (CET/CEST)","4504","10709","n/e","5042","4235","365","n/e","n/e","25","1","2697","1401","57","n/e","2601","275","144","14776","694","767","5841"
"Germany (DE)","14.04.2023 16:30 - 14.04.2023 16:45 (CET/CEST)","4506","10722","n/e","5189","4207","365","n/e","n/e","25","19","2073","1406","141","n/e","2598","275","144","13624","695","834","5973"
"Germany (DE)","14.04.2023 16:45 - 14.04.2023 17:00 (CET/CEST)","4512","10885","n/e","5228","4307","363","n/e","n/e","25","123","1765","1413","151","n/e","2600","277","145","12541","694","977","5993"
"Germany (DE)","14.04.2023 17:00 - 14.04.2023 17:15 (CET/CEST)","4561","11192","n/e","5349","4624","365","n/e","n/e","25","307","1453","1410","65","n/e","2596","292","152","11381","698","1054","6056"
"Germany (DE)","14.04.2023 17:15 - 14.04.2023 17:30 (CET/CEST)","4593","11603","n/e","5377","4978","363","n/e","n/e","25","476","752","1407","198","n/e","2595","293","153","10202","696","1104","5993"
"Germany (DE)","14.04.2023 17:30 - 14.04.2023 17:45 (CET/CEST)","4640","11672","n/e","5772","5299","363","n/e","n/e","25","787","62","1407","65","n/e","2594","293","153","8957","698","1237","6031"
"Germany (DE)","14.04.2023 17:45 - 14.04.2023 18:00 (CET/CEST)","4668","11855","n/e","6059","5745","363","n/e","n/e","25","1357","90","1407","62","n/e","2594","294","153","7726","693","1506","5877"
"Germany (DE)","14.04.2023 18:00 - 14.04.2023 18:15 (CET/CEST)","4716","11991","n/e","6453","6185","363","n/e","n/e","25","480","953","1404","64","n/e","2592","297","155","6510","692","1684","5867"
"Germany (DE)","14.04.2023 18:15 - 14.04.2023 18:30 (CET/CEST)","4736","12254","n/e","6692","6498","363","n/e","n/e","25","403","449","1404","91","n/e","2595","297","155","5359","695","1813","5923"
"Germany (DE)","14.04.2023 18:30 - 14.04.2023 18:45 (CET/CEST)","4751","12357","n/e","6996","6747","364","n/e","n/e","25","1123","556","1407","195","n/e","2595","297","155","4260","683","1761","5851"
"Germany (DE)","14.04.2023 18:45 - 14.04.2023 19:00 (CET/CEST)","4785","12341","n/e","7145","6913","365","n/e","n/e","25","2411","73","1411","114","n/e","2596","297","155","3204","678","1695","5819"
"Germany (DE)","14.04.2023 19:00 - 14.04.2023 19:15 (CET/CEST)","4806","12328","n/e","7379","7248","363","n/e","n/e","25","2769","152","1416","62","n/e","2595","297","155","2261","681","1667","5756"
"Germany (DE)","14.04.2023 19:15 - 14.04.2023 19:30 (CET/CEST)","4814","12369","n/e","7450","7395","363","n/e","n/e","25","3240","47","1436","76","n/e","2594","297","155","1466","685","1791","5567"
"Germany (DE)","14.04.2023 19:30 - 14.04.2023 19:45 (CET/CEST)","4816","12336","n/e","7451","7459","363","n/e","n/e","25","4130","9","1443","93","n/e","2593","297","155","814","687","1934","5431"
"Germany (DE)","14.04.2023 19:45 - 14.04.2023 20:00 (CET/CEST)","4819","12357","n/e","7476","7494","363","n/e","n/e","25","4647","8","1444","116","n/e","2595","295","154","362","689","2010","5602"
"Germany (DE)","14.04.2023 20:00 - 14.04.2023 20:15 (CET/CEST)","4811","12347","n/e","7434","7491","363","n/e","n/e","25","5243","6","1445","71","n/e","2594","270","142","109","682","2198","5927"
"Germany (DE)","14.04.2023 20:15 - 14.04.2023 20:30 (CET/CEST)","4806","12346","n/e","7383","7406","363","n/e","n/e","25","5161","5","1437","85","n/e","2595","255","135","17","673","2380","6121"
"Germany (DE)","14.04.2023 20:30 - 14.04.2023 20:45 (CET/CEST)","4810","12284","n/e","7373","7369","363","n/e","n/e","25","4835","7","1436","86","n/e","2592","255","135","1","682","2578","6223"
"Germany (DE)","14.04.2023 20:45 - 14.04.2023 21:00 (CET/CEST)","4802","12194","n/e","7364","7371","363","n/e","n/e","25","3115","9","1438","42","n/e","2585","253","135","0","686","2773","6434"
"Germany (DE)","14.04.2023 21:00 - 14.04.2023 21:15 (CET/CEST)","4750","12086","n/e","7336","7271","363","n/e","n/e","25","3134","13","1440","62","n/e","2582","241","129","0","675","2983","6594"
"Germany (DE)","14.04.2023 21:15 - 14.04.2023 21:30 (CET/CEST)","4593","11849","n/e","7338","7226","363","n/e","n/e","25","1431","86","1429","62","n/e","2584","240","128","0","672","3009","6749"
"Germany (DE)","14.04.2023 21:30 - 14.04.2023 21:45 (CET/CEST)","4604","11751","n/e","7297","7159","363","n/e","n/e","25","829","306","1434","59","n/e","2583","240","129","0","669","2994","6733"
"Germany (DE)","14.04.2023 21:45 - 14.04.2023 22:00 (CET/CEST)","4665","11512","n/e","7092","7080","363","n/e","n/e","25","421","587","1440","45","n/e","2585","241","129","0","679","2954","6721"
"Germany (DE)","14.04.2023 22:00 - 14.04.2023 22:15 (CET/CEST)","4622","11315","n/e","7052","6909","363","n/e","n/e","26","1420","167","1436","61","n/e","2588","240","129","0","676","2909","6728"
"Germany (DE)","14.04.2023 22:15 - 14.04.2023 22:30 (CET/CEST)","4610","11281","n/e","7023","6818","363","n/e","n/e","26","562","185","1435","40","n/e","2587","241","129","0","680","2896","6833"
"Germany (DE)","14.04.2023 22:30 - 14.04.2023 22:45 (CET/CEST)","4604","11274","n/e","6909","6630","364","n/e","n/e","26","614","220","1434","54","n/e","2581","240","129","0","678","2745","6784"
"Germany (DE)","14.04.2023 22:45 - 14.04.2023 23:00 (CET/CEST)","4601","11275","n/e","6686","6280","364","n/e","n/e","26","295","416","1430","34","n/e","2583","240","129","0","673","2660","6745"
"Germany (DE)","14.04.2023 23:00 - 14.04.2023 23:15 (CET/CEST)","4542","11207","n/e","5946","5887","363","n/e","n/e","26","829","245","1430","60","n/e","2578","231","124","0","674","2574","6705"
"Germany (DE)","14.04.2023 23:15 - 14.04.2023 23:30 (CET/CEST)","4538","11142","n/e","5536","5498","363","n/e","n/e","26","861","117","1433","149","n/e","2576","219","119","0","681","2459","6598"
"Germany (DE)","14.04.2023 23:30 - 14.04.2023 23:45 (CET/CEST)","4524","11099","n/e","5335","5193","363","n/e","n/e","26","652","22","1435","47","n/e","2581","219","119","0","671","2441","6556"
"Germany (DE)","14.04.2023 23:45 - 15.04.2023 00:00 (CET/CEST)","4513","11094","n/e","5121","5031","363","n/e","n/e","26","292","351","1433","32","n/e","2581","219","119","0","665","2396","6489"
"Germany (DE)","15.04.2023 00:00 - 15.04.2023 00:15 (CET/CEST)","4482","11091","n/e","5319","4999","363","n/e","n/e","26","2654","40","1435","152","n/e","2582","217","120","0","681","2306","6432"
"Germany (DE)","15.04.2023 00:15 - 15.04.2023 00:30 (CET/CEST)","4478","11037","n/e","5168","4540","365","n/e","n/e","26","2815","8","1435","96","n/e","2584","217","121","0","678","2286","6419"
"Germany (DE)","15.04.2023 00:30 - 15.04.2023 00:45 (CET/CEST)","4475","10872","n/e","5186","4453","363","n/e","n/e","26","2070","6","1425","58","n/e","2584","235","129","0","679","2241","6321"
"Germany (DE)","15.04.2023 00:45 - 15.04.2023 01:00 (CET/CEST)","4471","10786","n/e","5187","4324","363","n/e","n/e","26","1464","13","1424","41","n/e","2583","239","131","0","683","2244","6231"
"Germany (DE)","15.04.2023 01:00 - 15.04.2023 01:15 (CET/CEST)","4458","10678","n/e","5108","4088","363","n/e","n/e","26","1611","13","1425","38","n/e","2583","239","131","0","683","2223","6165"
"Germany (DE)","15.04.2023 01:15 - 15.04.2023 01:30 (CET/CEST)","4452","10558","n/e","5109","3901","363","n/e","n/e","26","1510","162","1425","38","n/e","2584","239","130","0","688","2131","6141"
"Germany (DE)","15.04.2023 01:30 - 15.04.2023 01:45 (CET/CEST)","4436","10542","n/e","5088","3754","363","n/e","n/e","26","1187","173","1429","37","n/e","2583","239","130","0","688","2001","6177"
"Germany (DE)","15.04.2023 01:45 - 15.04.2023 02:00 (CET/CEST)","4454","10519","n/e","5027","3477","363","n/e","n/e","26","1306","133","1432","36","n/e","2583","239","131","0","685","1870","6232"
"Germany (DE)","15.04.2023 02:00 - 15.04.2023 02:15 (CET/CEST)","4427","10531","n/e","4787","3318","363","n/e","n/e","26","466","48","1431","61","n/e","2584","244","133","0","651","1759","6235"
"Germany (DE)","15.04.2023 02:15 - 15.04.2023 02:30 (CET/CEST)","4407","10532","n/e","4494","3308","363","n/e","n/e","26","233","107","1432","34","n/e","2584","252","137","0","661","1646","6279"
"Germany (DE)","15.04.2023 02:30 - 15.04.2023 02:45 (CET/CEST)","4416","10523","n/e","4228","3218","363","n/e","n/e","26","579","209","1436","40","n/e","2584","252","137","0","666","1580","6300"
"Germany (DE)","15.04.2023 02:45 - 15.04.2023 03:00 (CET/CEST)","4412","10500","n/e","4204","3157","363","n/e","n/e","26","460","520","1436","32","n/e","2583","252","137","0","677","1540","6284"
"Germany (DE)","15.04.2023 03:00 - 15.04.2023 03:15 (CET/CEST)","4395","10419","n/e","4211","3012","363","n/e","n/e","26","503","491","1432","35","n/e","2584","252","137","0","673","1556","6346"
"Germany (DE)","15.04.2023 03:15 - 15.04.2023 03:30 (CET/CEST)","4397","10396","n/e","4193","2815","363","n/e","n/e","26","384","401","1421","37","n/e","2585","252","137","0","673","1585","6448"
"Germany (DE)","15.04.2023 03:30 - 15.04.2023 03:45 (CET/CEST)","4396","10395","n/e","4252","2755","363","n/e","n/e","26","366","393","1414","36","n/e","2585","252","137","0","669","1579","6590"
"Germany (DE)","15.04.2023 03:45 - 15.04.2023 04:00 (CET/CEST)","4393","10405","n/e","4248","2692","363","n/e","n/e","26","286","393","1416","34","n/e","2585","252","137","0","670","1552","6691"
"Germany (DE)","15.04.2023 04:00 - 15.04.2023 04:15 (CET/CEST)","4396","10307","n/e","4277","2453","363","n/e","n/e","26","325","325","1417","35","n/e","2583","261","141","0","664","1527","6904"
"Germany (DE)","15.04.2023 04:15 - 15.04.2023 04:30 (CET/CEST)","4402","10240","n/e","4242","2405","363","n/e","n/e","26","336","286","1414","29","n/e","2586","263","142","0","676","1532","7056"
"Germany (DE)","15.04.2023 04:30 - 15.04.2023 04:45 (CET/CEST)","4402","10268","n/e","4248","2396","363","n/e","n/e","26","213","480","1411","31","n/e","2582","263","142","0","663","1620","7214"
"Germany (DE)","15.04.2023 04:45 - 15.04.2023 05:00 (CET/CEST)","4403","10177","n/e","4177","2289","363","n/e","n/e","26","207","332","1406","30","n/e","2581","263","142","0","674","1686","7538"
"Germany (DE)","15.04.2023 05:00 - 15.04.2023 05:15 (CET/CEST)","4423","10121","n/e","4257","2071","365","n/e","n/e","25","174","577","1402","34","n/e","2582","262","141","0","683","1789","7828"
"Germany (DE)","15.04.2023 05:15 - 15.04.2023 05:30 (CET/CEST)","4418","10063","n/e","4245","2073","363","n/e","n/e","25","165","762","1398","29","n/e","2583","254","138","0","683","1908","8085"
"Germany (DE)","15.04.2023 05:30 - 15.04.2023 05:45 (CET/CEST)","4418","10010","n/e","4239","2073","363","n/e","n/e","25","207","819","1396","28","n/e","2584","254","137","0","665","2026","8318"
"Germany (DE)","15.04.2023 05:45 - 15.04.2023 06:00 (CET/CEST)","4427","10031","n/e","4214","2077","363","n/e","n/e","25","98","833","1394","29","n/e","2581","254","138","0","652","2110","8633"
"Germany (DE)","15.04.2023 06:00 - 15.04.2023 06:15 (CET/CEST)","4494","9985","n/e","4231","2076","363","n/e","n/e","25","191","608","1393","31","n/e","2579","254","138","2","657","2222","9029"
"Germany (DE)","15.04.2023 06:15 - 15.04.2023 06:30 (CET/CEST)","4509","9960","n/e","4152","2086","363","n/e","n/e","25","200","418","1389","38","n/e","2581","254","138","24","666","2384","9348"
"Germany (DE)","15.04.2023 06:30 - 15.04.2023 06:45 (CET/CEST)","4515","9931","n/e","4189","2078","363","n/e","n/e","25","263","473","1384","40","n/e","2581","254","138","77","658","2562","9581"
"Germany (DE)","15.04.2023 06:45 - 15.04.2023 07:00 (CET/CEST)","4540","9950","n/e","4233","2101","363","n/e","n/e","25","60","488","1377","46","n/e","2582","254","137","292","661","2652","9803"
"Germany (DE)","15.04.2023 07:00 - 15.04.2023 07:15 (CET/CEST)","4582","9983","n/e","4306","2108","363","n/e","n/e","25","478","286","1376","37","n/e","2582","260","141","678","662","2703","9974"
"Germany (DE)","15.04.2023 07:15 - 15.04.2023 07:30 (CET/CEST)","4595","9965","n/e","4286","2115","363","n/e","n/e","25","482","254","1374","34","n/e","2583","265","143","1242","667","2845","10005"
"Germany (DE)","15.04.2023 07:30 - 15.04.2023 07:45 (CET/CEST)","4596","9964","n/e","4267","2127","363","n/e","n/e","25","577","170","1371","41","n/e","2581","265","143","1911","664","3033","10073"
"Germany (DE)","15.04.2023 07:45 - 15.04.2023 08:00 (CET/CEST)","4621","10052","n/e","4255","2131","363","n/e","n/e","25","575","125","1373","41","n/e","2582","265","143","2631","674","3265","10020"
"Germany (DE)","15.04.2023 08:00 - 15.04.2023 08:15 (CET/CEST)","4628","10175","n/e","4126","2180","364","n/e","n/e","25","1049","19","1374","41","n/e","2580","265","143","3432","679","3623","9946"
"Germany (DE)","15.04.2023 08:15 - 15.04.2023 08:30 (CET/CEST)","4640","10169","n/e","4230","2184","364","n/e","n/e","25","1086","19","1377","41","n/e","2579","265","143","4249","674","3989","9952"
"Germany (DE)","15.04.2023 08:30 - 15.04.2023 08:45 (CET/CEST)","4649","10178","n/e","4220","2127","363","n/e","n/e","25","713","21","1379","34","n/e","2578","265","143","5095","675","4305","9894"
"Germany (DE)","15.04.2023 08:45 - 15.04.2023 09:00 (CET/CEST)","4641","9955","n/e","4216","2117","363","n/e","n/e","25","376","510","1377","25","n/e","2579","265","143","6005","674","4758","9876"
"Germany (DE)","15.04.2023 09:00 - 15.04.2023 09:15 (CET/CEST)","4625","9730","n/e","3873","2178","365","n/e","n/e","25","1376","119","1380","29","n/e","2578","265","143","6917","669","4803","9739"
"Germany (DE)","15.04.2023 09:15 - 15.04.2023 09:30 (CET/CEST)","4610","9597","n/e","3791","2197","363","n/e","n/e","25","359","498","1381","32","n/e","2580","260","143","7758","662","4848","9725"
