"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2023 06:30 - 01.01.2023 06:45 (CET/CEST)","4405","3819","n/e","1581","2034","306","n/e","n/e","26","170","5284","1181","47","n/e","2465","188","103","0","710","3233","26610"
"Germany (DE)","01.01.2023 06:45 - 01.01.2023 07:00 (CET/CEST)","4411","3826","n/e","1583","2029","306","n/e","n/e","26","172","5157","1181","55","n/e","2463","187","103","0","717","3230","26445"
"Germany (DE)","01.01.2023 07:00 - 01.01.2023 07:15 (CET/CEST)","4441","3825","n/e","1559","2032","306","n/e","n/e","26","166","4491","1181","75","n/e","2465","187","103","0","716","3574","27251"
"Germany (DE)","01.01.2023 07:15 - 01.01.2023 07:30 (CET/CEST)","4470","3825","n/e","1575","2031","306","n/e","n/e","26","170","4180","1179","136","n/e","2464","188","103","0","717","3416","27161"
"Germany (DE)","01.01.2023 07:30 - 01.01.2023 07:45 (CET/CEST)","4474","3829","n/e","1575","2028","306","n/e","n/e","26","166","3929","1180","112","n/e","2464","188","103","0","714","3442","27221"
"Germany (DE)","01.01.2023 07:45 - 01.01.2023 08:00 (CET/CEST)","4481","3843","n/e","1567","2033","306","n/e","n/e","26","161","3722","1178","103","n/e","2464","188","103","0","715","3487","26857"
"Germany (DE)","01.01.2023 08:00 - 01.01.2023 08:15 (CET/CEST)","4489","3794","n/e","1568","2034","306","n/e","n/e","26","161","3581","1178","93","n/e","2464","188","103","7","729","3118","26810"
"Germany (DE)","01.01.2023 08:15 - 01.01.2023 08:30 (CET/CEST)","4517","3789","n/e","1568","2033","305","n/e","n/e","26","160","3718","1181","22","n/e","2461","188","103","92","731","3221","26642"
"Germany (DE)","01.01.2023 08:30 - 01.01.2023 08:45 (CET/CEST)","4521","3791","n/e","1567","2036","306","n/e","n/e","26","161","3199","1182","25","n/e","2463","187","103","627","727","3062","26315"
"Germany (DE)","01.01.2023 08:45 - 01.01.2023 09:00 (CET/CEST)","4530","3781","n/e","1552","2046","305","n/e","n/e","26","160","3047","1189","30","n/e","2463","188","103","1439","722","3069","25907"
